API,Complexity,Response Time (s),Response Size (bytes)
REST,low,0.6640501022338867,41079
REST,low,0.46835875511169434,41079
REST,low,0.4643592834472656,41079
REST,low,0.4386417865753174,41079
REST,low,0.4753100872039795,41079
REST,low,0.4621269702911377,41079
REST,low,0.48045802116394043,41079
REST,low,0.434528112411499,41079
REST,low,0.5291659832000732,41079
REST,low,0.4728078842163086,41079
REST,low,0.43918681144714355,41079
REST,low,0.463360071182251,41079
REST,low,0.5214219093322754,41079
REST,low,0.4668753147125244,41079
REST,low,0.4683530330657959,41079
REST,low,0.521704912185669,41079
REST,low,0.5062940120697021,41079
REST,low,0.45451903343200684,41079
REST,low,0.47368288040161133,41079
REST,low,0.5196220874786377,41079
REST,low,0.45993900299072266,41079
REST,low,0.4649960994720459,41079
REST,low,0.44287800788879395,41079
REST,low,0.45219898223876953,41079
REST,low,0.4418060779571533,41079
REST,low,0.5289819240570068,41079
REST,low,0.4886190891265869,41079
REST,low,0.45022010803222656,41079
REST,low,0.46131205558776855,41079
REST,low,0.5919139385223389,41079
REST,low,0.48799896240234375,41079
REST,low,0.49102187156677246,41079
REST,low,0.5057940483093262,41079
REST,low,0.4749431610107422,41079
REST,low,0.464357852935791,41079
REST,low,0.5151388645172119,41079
REST,low,0.5390880107879639,41079
REST,low,0.45728492736816406,41079
REST,low,0.47553277015686035,41079
REST,low,0.45429301261901855,41079
REST,low,0.5105059146881104,41079
REST,low,0.4728529453277588,41079
REST,low,0.44127893447875977,41079
REST,low,0.4500417709350586,41079
REST,low,0.4781310558319092,41079
REST,low,0.4949371814727783,41079
REST,low,0.525425910949707,41079
REST,low,0.4544682502746582,41079
REST,low,0.4828188419342041,41079
REST,low,0.9135663509368896,41079
REST,low,0.5555477142333984,41079
REST,low,0.4312148094177246,41079
REST,low,1.4758632183074951,41079
REST,low,0.549767017364502,41079
REST,low,0.49958300590515137,41079
REST,low,0.40731215476989746,41079
REST,low,0.4456779956817627,41079
REST,low,0.48505091667175293,41079
REST,low,0.6030251979827881,41079
REST,low,0.4862556457519531,41079
REST,low,0.47020602226257324,41079
REST,low,0.44049715995788574,41079
REST,low,0.47864508628845215,41079
REST,low,0.5279738903045654,41079
REST,low,0.4698808193206787,41079
REST,low,0.5376038551330566,41079
REST,low,0.456967830657959,41079
REST,low,0.6079919338226318,41079
REST,low,0.49610066413879395,41079
REST,low,0.46679115295410156,41079
REST,low,0.4555041790008545,41079
REST,low,0.47111010551452637,41079
REST,low,0.49057793617248535,41079
REST,low,0.4905061721801758,41079
REST,low,0.5721638202667236,41079
REST,low,0.5445899963378906,41079
REST,low,0.5056071281433105,41079
REST,low,0.5389418601989746,41079
REST,low,0.5009090900421143,41079
REST,low,0.4864330291748047,41079
REST,low,0.5059652328491211,41079
REST,low,0.5080628395080566,41079
REST,low,0.5213229656219482,41079
REST,low,0.49993109703063965,41079
REST,low,0.45633602142333984,41079
REST,low,0.46239423751831055,41079
REST,low,0.4444150924682617,41079
REST,low,0.5364491939544678,41079
REST,low,0.4551050662994385,41079
REST,low,0.43467116355895996,41079
REST,low,0.5118980407714844,41079
REST,low,0.5259370803833008,41079
REST,low,0.509113073348999,41079
REST,low,0.48160815238952637,41079
REST,low,0.5894272327423096,41079
REST,low,0.47470808029174805,41079
REST,low,0.5120859146118164,41079
REST,low,0.5313558578491211,41079
REST,low,0.5506591796875,41079
REST,low,0.48496389389038086,41079
REST,medium,0.4734179973602295,41079
REST,medium,0.5523779392242432,41079
REST,medium,0.47103404998779297,41079
REST,medium,0.5232996940612793,41079
REST,medium,0.47501206398010254,41079
REST,medium,0.4714648723602295,41079
REST,medium,0.460003137588501,41079
REST,medium,0.45969724655151367,41079
REST,medium,0.4609568119049072,41079
REST,medium,0.4832019805908203,41079
REST,medium,0.4421257972717285,41079
REST,medium,0.9986908435821533,41079
REST,medium,0.6562609672546387,41079
REST,medium,1.6372730731964111,41079
REST,medium,0.9329142570495605,41079
REST,medium,0.4827461242675781,41079
REST,medium,0.502403974533081,41079
REST,medium,0.4237968921661377,41079
REST,medium,0.5463778972625732,41079
REST,medium,0.4526350498199463,41079
REST,medium,0.477618932723999,41079
REST,medium,0.4938199520111084,41079
REST,medium,0.525526762008667,41079
REST,medium,0.5087301731109619,41079
REST,medium,0.4935798645019531,41079
REST,medium,0.6309330463409424,41079
REST,medium,0.5252640247344971,41079
REST,medium,0.5442419052124023,41079
REST,medium,0.4263033866882324,41079
REST,medium,0.48583507537841797,41079
REST,medium,0.44307398796081543,41079
REST,medium,0.5079200267791748,41079
REST,medium,0.8703188896179199,41079
REST,medium,0.4769160747528076,41079
REST,medium,0.470538854598999,41079
REST,medium,0.5311429500579834,41079
REST,medium,0.4859280586242676,41079
REST,medium,0.5062968730926514,41079
REST,medium,0.4865729808807373,41079
REST,medium,0.4802422523498535,41079
REST,medium,0.4832770824432373,41079
REST,medium,0.4827110767364502,41079
REST,medium,0.4661369323730469,41079
REST,medium,0.4917640686035156,41079
REST,medium,0.48152899742126465,41079
REST,medium,0.46960902214050293,41079
REST,medium,0.5288660526275635,41079
REST,medium,0.46161890029907227,41079
REST,medium,0.48166775703430176,41079
REST,medium,0.5088539123535156,41079
REST,medium,0.4484102725982666,41079
REST,medium,0.507439136505127,41079
REST,medium,0.5239009857177734,41079
REST,medium,0.44867610931396484,41079
REST,medium,0.44735217094421387,41079
REST,medium,0.4640939235687256,41079
REST,medium,1.503572940826416,41079
REST,medium,0.4348771572113037,41079
REST,medium,0.49732208251953125,41079
REST,medium,0.4916107654571533,41079
REST,medium,0.5104117393493652,41079
REST,medium,0.43128418922424316,41079
REST,medium,0.45636606216430664,41079
REST,medium,0.491574764251709,41079
REST,medium,0.507868766784668,41079
REST,medium,0.4449639320373535,41079
REST,medium,0.5058999061584473,41079
REST,medium,0.49045825004577637,41079
REST,medium,0.46300578117370605,41079
REST,medium,0.5048902034759521,41079
REST,medium,0.5202560424804688,41079
REST,medium,0.4665558338165283,41079
REST,medium,0.4978938102722168,41079
REST,medium,0.46831512451171875,41079
REST,medium,0.4642190933227539,41079
REST,medium,0.4188368320465088,41079
REST,medium,1.4998269081115723,41079
REST,medium,0.5165081024169922,41079
REST,medium,0.5446903705596924,41079
REST,medium,0.5228469371795654,41079
REST,medium,0.5004920959472656,41079
REST,medium,0.4923117160797119,41079
REST,medium,0.48658275604248047,41079
REST,medium,0.4735069274902344,41079
REST,medium,0.46628904342651367,41079
REST,medium,0.5078978538513184,41079
REST,medium,0.49947094917297363,41079
REST,medium,0.505950927734375,41079
REST,medium,0.49740123748779297,41079
REST,medium,0.4959089756011963,41079
REST,medium,0.4811289310455322,41079
REST,medium,0.6360158920288086,41079
REST,medium,0.44919395446777344,41079
REST,medium,0.48993897438049316,41079
REST,medium,0.448444128036499,41079
REST,medium,0.9530239105224609,41079
REST,medium,0.46841907501220703,41079
REST,medium,0.5002949237823486,41079
REST,medium,0.47548723220825195,41079
REST,medium,0.4566621780395508,41079
REST,medium,0.46673583984375,41079
REST,medium,0.49945783615112305,41079
REST,medium,0.5248470306396484,41079
REST,medium,0.4621541500091553,41079
REST,medium,0.4680938720703125,41079
REST,medium,0.6512460708618164,41079
REST,medium,0.4733712673187256,41079
REST,medium,0.42042994499206543,41079
REST,medium,0.4440939426422119,41079
REST,medium,0.4638631343841553,41079
REST,medium,0.46042585372924805,41079
REST,medium,0.45386600494384766,41079
REST,medium,0.5286040306091309,41079
REST,medium,0.486299991607666,41079
REST,medium,0.46948671340942383,41079
REST,medium,0.6730911731719971,41079
REST,medium,0.5436320304870605,41079
REST,medium,0.721804141998291,41079
REST,medium,0.610651969909668,41079
REST,medium,0.5687198638916016,41079
REST,medium,0.5426449775695801,41079
REST,medium,0.5235660076141357,41079
REST,medium,0.5025999546051025,41079
REST,medium,0.6548988819122314,41079
REST,medium,0.5196340084075928,41079
REST,medium,0.5153071880340576,41079
REST,medium,0.5023620128631592,41079
REST,medium,0.5868737697601318,41079
REST,medium,0.6100320816040039,41079
REST,medium,0.5000698566436768,41079
REST,medium,0.5089280605316162,41079
REST,medium,0.4813990592956543,41079
REST,medium,0.430217981338501,41079
REST,medium,0.461550235748291,41079
REST,medium,0.4534721374511719,41079
REST,medium,0.574725866317749,41079
REST,medium,0.49110913276672363,41079
REST,medium,0.5526459217071533,41079
REST,medium,0.6083471775054932,41079
REST,medium,0.4663259983062744,41079
